team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
OB,2724353505,431,1,48,29,1,44.2,72.7,M. Ejdum,138.0,89.0,NaN,NaN,OB vs Roskilde,2024-09-22,40.0,63.4,0.0000256,NaN,NaN,NaN,7.7,4.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724356531,431,15,50,43,1,80.9,28.0,A. Taranis,147.0,96.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,0.020799599587917328,0.06948923319578171,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724353575,432,1,48,31,1,38.8,61.8,A. Manneh,138.0,89.0,NaN,NaN,OB vs Roskilde,2024-09-22,30.5,34.9,0.00000937,NaN,NaN,NaN,20.3,4.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724356657,432,16,50,47,1,93.6,50.5,A. Jensen,148.0,96.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,0.699689507484436,0.9373258352279663,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724358253,433,1,52,4,1,21.4,28.3,M. Lysholm,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,39.1,34.1,0.00002612,NaN,NaN,NaN,19.0,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724353695,433,1,48,34,1,31.6,32.4,B. Paulsen,138.0,89.0,NaN,NaN,OB vs Roskilde,2024-09-22,44.8,10.0,0.00002245,NaN,NaN,NaN,20.6,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724358263,434,61,52,6,1,39.1,34.1,A. Taranis,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724353747,434,2,48,38,1,55.4,10.9,L. Owusu,138.0,89.0,NaN,NaN,OB vs Roskilde,2024-09-22,85.6,33.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724358279,435,1,52,8,1,44.6,34.4,A. Jensen,150.0,98.0,NaN,NaN,OB vs Roskilde,2024-09-22,52.6,21.9,0.00009198,NaN,NaN,NaN,12.0,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724354601,435,1,49,18,0,32.9,23.6,J. Bonde,140.0,91.0,NaN,NaN,OB vs Roskilde,2024-09-22,45.8,27.9,NaN,NaN,NaN,NaN,13.9,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724354607,436,44,49,20,0,42.2,25.6,M. Fenger,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724358293,436,49,52,7,1,43.0,34.1,A. Jensen,150.0,98.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724358339,437,1,52,9,0,39.6,22.7,M. Juhl,150.0,98.0,NaN,NaN,OB vs Roskilde,2024-09-22,78.3,6.5,NaN,NaN,NaN,NaN,42.1,6.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
