sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,local_date,description
6,4bkqvwlmbwul0s8lbbq6mifp,S. Reese,LCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,20.21,0.15,2025-07-19,Hillerød vs Middelfart
6,6j52ab9vnkhef31151cmjywnp,M. Boesen,ST,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,-7.04,17.57,2025-07-19,Hillerød vs Middelfart
6,846p691upy8hsw0pgteb6ktuc,N. Rasmussen,LB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,18.48,-16.98,2025-07-19,Hillerød vs Middelfart
6,8pit4oud8sym57oc8m0f3j8ix,R. Kakeeto,LCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,1.44,4.49,2025-07-19,Hillerød vs Middelfart
6,a5ah5r5vl0pjgt655lc5qqvop,B. Bytyqi,LM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,False,True,24.16,26.96,0,0,24,26,37.85,4.61,7.52,16.2,2025-07-19,Hillerød vs Middelfart
6,ef7l91pb4w6yk7lijxjxlievp,M. Greve,CB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,8i16xur310p25unjt0zjrluj9,C. Radza,GK,False,False,False,True,False,False,False,0,False,True,True,24.16,26.96,0,0,24,26,37.85,4.61,16.75,15.38,2025-07-19,Hillerød vs Middelfart
7,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,True,False,False,False,False,0,False,False,False,33.2,33.36,0,0,33,33,-16.32,30.25,-9.4,27.6,2025-07-19,Hillerød vs Middelfart
7,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,False,False,False,False,False,0,False,False,False,33.2,33.36,0,0,33,33,-16.32,30.25,11.51,24.92,2025-07-19,Hillerød vs Middelfart
7,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,False,False,False,False,False,0,False,False,False,33.2,33.36,0,0,33,33,-16.32,30.25,-6.91,23.46,2025-07-19,Hillerød vs Middelfart
7,4bkqvwlmbwul0s8lbbq6mifp,S. Reese,LCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,False,False,False,False,False,0,False,False,False,33.2,33.36,0,0,33,33,-16.32,30.25,12.39,-0.49,2025-07-19,Hillerød vs Middelfart
7,6j52ab9vnkhef31151cmjywnp,M. Boesen,ST,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,False,False,False,False,False,0,False,False,False,33.2,33.36,0,0,33,33,-16.32,30.25,-18.58,20.59,2025-07-19,Hillerød vs Middelfart
7,846p691upy8hsw0pgteb6ktuc,N. Rasmussen,LB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,False,False,False,False,False,0,False,False,False,33.2,33.36,0,0,33,33,-16.32,30.25,3.93,-18.38,2025-07-19,Hillerød vs Middelfart
