team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
HIL,16,1076.65,124436.72,19973.53,8292.28,3255.2,1198,655,478,65,c7e28349-2c31-4bd6-83ad-bb9e912e0c23,HIL - VFN : 2023-8-19,2023,1.Div
VFN,16,1076.6666666666667,120373.57,19759.92,8281.58,3435.01,1188,597,549,42,c7e28349-2c31-4bd6-83ad-bb9e912e0c23,HIL - VFN : 2023-8-19,2023,1.Div
HBK,15,1065.8666666666666,115602.29000000001,17237.8,7397.91,2677.78,1092,627,432,33,fac351af-ae27-4543-8699-b7031669c4de,HBK - HIK : 2023-8-20,2023,1.Div
HIK,16,1065.9,117143.79000000001,17037.97,6902.56,2541.5699999999997,994,506,445,43,fac351af-ae27-4543-8699-b7031669c4de,HBK - HIK : 2023-8-20,2023,1.Div
ACH,16,1067.7333333333333,115931.36,18838.72,7817.39,2638.76,1077,647,397,33,5819673c-f675-4b42-b31e-bd23f0b9e656,FRE - ACH : 2023-8-22,2023,1.Div
FRE,16,1067.7166666666667,115628.95999999999,17189.28,7134.38,2617.53,1019,440,524,55,5819673c-f675-4b42-b31e-bd23f0b9e656,FRE - ACH : 2023-8-22,2023,1.Div
B93,15,1094.45,110834.35,15413.16,5563.15,1350.96,698,342,306,50,86fc4122-3567-4755-b67a-a2666495a502,NVD - B93 : 2023-8-22,2023,1.Div
NVD,16,1094.4666666666667,112388.35,15718.74,5383.32,1384.22,726,366,303,57,86fc4122-3567-4755-b67a-a2666495a502,NVD - B93 : 2023-8-22,2023,1.Div
HBK,15,1052.1,112527.82,17021.579999999998,7769.97,2952.37,1131,638,428,65,5e03cb9f-f8db-43c5-b1ca-e4dfec50d66b,SJE - HBK : 2023-8-23,2023,1.Div
SJE,16,1052.0833333333333,118178.72,19395.87,8356.29,3051.35,1196,643,474,79,5e03cb9f-f8db-43c5-b1ca-e4dfec50d66b,SJE - HBK : 2023-8-23,2023,1.Div
