team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
OB,2707407365,641,1,70,25,1,29.2,10.1,A. Manneh,230.0,141.0,NaN,NaN,OB vs Hillerød,2024-08-10,23.3,26.7,0.00000233,NaN,NaN,NaN,12.9,2.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707405049,641,5,67,26,0,37.4,-1.3,C. Allen,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407425,642,1,70,26,0,23.3,26.7,B. Paulsen,230.0,141.0,NaN,NaN,OB vs Hillerød,2024-08-10,63.4,21.0,NaN,NaN,NaN,NaN,42.3,6.2,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707405379,642,1,67,56,0,17.0,10.1,C. Allen,221.0,134.0,NaN,NaN,OB vs Hillerød,2024-08-10,60.7,37.7,NaN,NaN,NaN,NaN,49.6,0.4,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407903,643,7,71,1,0,9.5,31.5,A. Manneh,232.0,143.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707405543,643,83,68,11,0,7.5,93.6,L. Bøje-Larsen,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407931,644,1,71,4,1,7.1,29.1,L. Owusu,232.0,143.0,NaN,NaN,OB vs Hillerød,2024-08-10,8.0,24.3,0.00000022,NaN,NaN,NaN,3.4,5.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707405777,644,83,68,29,0,8.2,76.6,B. Kücükylidiz,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707405915,645,5,68,37,1,-0.8,41.5,B. Kücükylidiz,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407965,645,12,71,6,1,8.0,24.3,J. Bonde,232.0,143.0,NaN,NaN,OB vs Hillerød,2024-08-10,44.7,-1.9,NaN,NaN,NaN,NaN,42.5,5.9,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707406211,646,18,68,54,1,4.3,41.6,M. Bay,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707407975,646,5,71,9,0,45.4,-1.8,J. Bonde,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707406217,647,19,68,54,1,4.3,41.6,D. Bagou,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707408355,647,12,71,40,1,8.1,46.1,J. Gomez,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,29.7,30.6,NaN,NaN,NaN,NaN,25.0,5.8,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707408467,648,1,68,24,1,95.9,29.8,M. Ejdum,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,86.8,30.9,0.01862045,NaN,NaN,NaN,9.6,3.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707406315,648,18,69,2,1,4.3,41.6,C. Allen,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707406321,649,19,69,2,1,4.3,41.6,S. Sharif,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707408543,649,12,71,52,1,9.9,43.9,J. Gomez,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,10.6,8.5,NaN,NaN,NaN,NaN,24.1,4.7,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
