type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
ballPossession,37.7,62.3,NaN,15,76-90,47.4,52.6,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,45,0-45,33.6,66.4,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,37.7,62.3,NaN,45,46-90,42.5,57.5,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,0-5,48.7,51.3,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,6-10,18.8,81.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,11-15,50.7,49.3,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,16-20,55.2,44.8,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,21-25,45.0,55.0,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,26-30,34.7,65.3,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,31-35,25.5,74.5,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,36-40,30.6,69.4,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,41-45,34.2,65.8,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,46-50,32.2,67.8,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,51-55,31.0,69.0,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,56-60,37.1,62.9,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,61-65,26.8,73.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,66-70,28.9,71.1,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,71-75,39.1,60.9,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorial,36.1,63.9,NaN,5,76-80,12.5,87.5,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
