team_name,label,Transition xG difference,Transition xG,Transition xG against,Transition xG share
Vendsyssel,Fredericia vs Vendsyssel 2024-07-27,-0.58,0.68,-1.27,0.47
Vendsyssel,HB Køge vs Vendsyssel 2024-09-20,1.0,1.19,-0.19,0.55
Vendsyssel,Hillerød vs Vendsyssel 2024-10-04,-1.01,0.37,-1.39,0.39
Vendsyssel,Horsens vs Vendsyssel 2024-08-24,-0.2,0.04,-0.24,0.08
Vendsyssel,Hvidovre vs Vendsyssel 2024-10-26,-0.8,0.9,-1.7,0.72
Vendsyssel,Kolding vs Vendsyssel 2024-11-08,0.02,0.16,-0.14,0.24
Vendsyssel,OB vs Vendsyssel 2024-08-30,-0.09,0.41,-0.49,0.58
Vendsyssel,Vendsyssel vs B 93 2024-10-18,0.87,0.93,-0.06,0.42
Vendsyssel,Vendsyssel vs HB Køge 2024-11-02,0.19,0.25,-0.06,0.32
Vendsyssel,Vendsyssel vs Hillerød 2024-09-14,-0.52,0.05,-0.58,0.13
Vendsyssel,Vendsyssel vs Hobro 2024-08-21,-0.28,0.6,-0.88,0.44
Vendsyssel,Vendsyssel vs Hvidovre 2024-09-28,-0.2,0.03,-0.23,0.04
Vendsyssel,Vendsyssel vs Kolding 2024-08-10,-0.38,0.21,-0.59,0.12
Vendsyssel,Vendsyssel vs OB 2024-11-25,-0.11,0.1,-0.21,0.13
Vendsyssel,Vendsyssel vs Roskilde 2024-07-19,0.25,0.46,-0.21,0.31
