description,match_id,game_id,team_name,timeMin,timeSec,contestantId,frames_ball40,frames_success,success_pct,def_line_from_own_goal_mean,ball_from_own_goal_mean,percent_succes_mean
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,46,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,38.50013677368164,51.360936773681644,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,47,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,36.23013677368164,47.08453677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,48,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,34.57773677368164,42.88693677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,49,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.98453677368164,45.10933677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,50,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.72333677368164,54.27213677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,51,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,34.58893677368164,56.78653677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,52,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,35.67533677368164,55.19133677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,53,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,35.272536773681644,51.66933677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,54,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.92413677368164,46.42373677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,55,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,32.37413677368164,46.26173677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,56,a9vw7ikerpr4cuweeeka5aneg,18,18,100.0,30.951981218126086,44.080314551459416,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,12,a9vw7ikerpr4cuweeeka5aneg,18,0,0.0,19.506981218126086,47.391425662570526,80.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,13,a9vw7ikerpr4cuweeeka5aneg,25,0,0.0,21.90853677368164,62.98093677368164,80.8
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,14,a9vw7ikerpr4cuweeeka5aneg,25,18,72.0,26.06893677368164,73.19413677368163,97.2
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,15,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,30.850136773681644,81.39333677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,16,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,35.45573677368164,88.56053677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,17,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,39.40733677368164,95.45893677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,18,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,43.391336773681644,91.68413677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,19,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,46.50373677368164,88.92293677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,20,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,48.83333677368164,93.06493677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,21,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,50.386136773681635,94.24733677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,22,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,51.416936773681634,92.79133677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,23,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,51.87493677368164,91.66093677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,24,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,52.08453677368164,87.07493677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,25,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,51.995736773681635,73.19053677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,26,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,51.85453677368164,64.27013677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,27,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,52.36773677368164,69.65853677368165,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,5,28,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,53.78733677368164,72.62733677368165,100.0
