type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,league_name,country,date,home_team,away_team
ballPossession,52.8,47.2,NaN,5,36-40,54.4,45.6,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,41-45,39.0,61.0,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,46-50,53.3,46.7,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,51-55,45.0,55.0,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,56-60,29.2,70.8,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,61-65,42.9,57.1,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,66-70,70.6,29.4,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,71-75,72.1,27.9,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,76-80,72.5,27.5,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
ballPossession,52.8,47.2,NaN,5,81-85,55.8,44.2,NaN,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,1_Division,DNK,2025-07-18,Hvidovre,B 93
